mission_name,launch_date,rocket_name,payload_mass,orbit,site_name,location,success,weather_condition
FalconSat,2006-03-24T22:30:00.000Z,Falcon 1,20.0,LEO,Kwajalein Atoll,Omelek Island,0,Clear
DemoSat,2007-03-21T01:10:00.000Z,Falcon 1,128.33333333333334,LEO,Kwajalein Atoll,Omelek Island,0,Clear
Trailblazer,2008-08-03T03:34:00.000Z,Falcon 1,128.33333333333334,LEO,Kwajalein Atoll,Omelek Island,0,Clear
RatSat,2008-09-28T23:15:00.000Z,Falcon 1,165.0,LEO,Kwajalein Atoll,Omelek Island,1,Clear
RazakSat,2009-07-13T03:35:00.000Z,Falcon 1,200.0,LEO,Kwajalein Atoll,Omelek Island,1,Clear
Falcon 9 Test Flight,2010-06-04T18:45:00.000Z,Falcon 9,8084.397096774193,LEO,CCSFS SLC 40,Cape Canaveral,1,Clear
COTS 1,2010-12-08T15:43:00.000Z,Falcon 9,8084.397096774193,LEO,CCSFS SLC 40,Cape Canaveral,1,Clear
COTS 2,2012-05-22T07:44:00.000Z,Falcon 9,525.0,LEO,CCSFS SLC 40,Cape Canaveral,1,Clear
CRS-1,2012-10-08T00:35:00.000Z,Falcon 9,400.0,ISS,CCSFS SLC 40,Cape Canaveral,1,Clear
CRS-2,2013-03-01T19:10:00.000Z,Falcon 9,677.0,ISS,CCSFS SLC 40,Cape Canaveral,1,Clear
CASSIOPE,2013-09-29T16:00:00.000Z,Falcon 9,500.0,PO,VAFB SLC 4E,Vandenberg Space Force Base,1,Clear
SES-8,2013-12-03T22:41:00.000Z,Falcon 9,3170.0,GTO,CCSFS SLC 40,Cape Canaveral,1,Clear
Thaicom 6,2014-01-06T18:06:00.000Z,Falcon 9,3325.0,GTO,CCSFS SLC 40,Cape Canaveral,1,Clear
CRS-3,2014-04-18T19:25:00.000Z,Falcon 9,2296.0,ISS,CCSFS SLC 40,Cape Canaveral,1,Clear
OG-2 Mission 1,2014-07-14T15:15:00.000Z,Falcon 9,1316.0,LEO,CCSFS SLC 40,Cape Canaveral,1,Clear
AsiaSat 8,2014-08-05T08:00:00.000Z,Falcon 9,4535.0,GTO,CCSFS SLC 40,Cape Canaveral,1,Clear
AsiaSat 6,2014-09-07T05:00:00.000Z,Falcon 9,4428.0,GTO,CCSFS SLC 40,Cape Canaveral,1,Clear
CRS-4,2014-09-21T05:52:00.000Z,Falcon 9,2216.0,ISS,CCSFS SLC 40,Cape Canaveral,1,Clear
CRS-5,2015-01-10T09:47:00.000Z,Falcon 9,2395.0,ISS,CCSFS SLC 40,Cape Canaveral,1,Clear
DSCOVR,2015-02-11T23:03:00.000Z,Falcon 9,570.0,ES-L1,CCSFS SLC 40,Cape Canaveral,1,Clear
